id,ts,val,val1,base_values,moving_average,daily_pattern,max_vector,normalization,base_prediction,min_vector,minValueWeeklyTrend,avgMinValues,prediction
0FF90FBF-D7B0-4311-A512-D6CAFF793F32,2016-11-16,3.329840032694241,3.329840032694241,3.329840032694241,3.329840032694241,3.329840032694241,3.329840032694241,1.1,3.6628240359636655,3.6628240359636655,3.6628240359636655,3.6628240359636655,13.416279918433155
0FF90FBF-D7B0-4311-A512-D6CAFF793F32,2016-11-17,3.1027133868386345,3.1027133868386345,3.1027133868386345,3.1027133868386345,3.1027133868386345,3.2470100565503035,1.0911120281613804,3.385407896316968,3.385407896316968,3.385407896316968,3.385407896316968,11.46098662444528
0FF90FBF-D7B0-4311-A512-D6CAFF793F32,2016-11-18,2.92641661160936,2.92641661160936,2.92641661160936,2.92641661160936,2.92641661160936,3.329840032694241,1.0757692010953173,3.148148860343067,3.148148860343067,1.0819446719990529,1.0819446719990529,3.4061228861080717
0FF90FBF-D7B0-4311-A512-D6CAFF793F32,2016-11-19,0.8836466684006155,0.8836466684006155,0.8836466684006155,0.8836466684006155,0.8836466684006155,3.329840032694241,0.9530744215772816,0.8421810373646086,0.8421810373646086,1.0753646179069327,1.0753646179069327,0.9056516894540565
0FF90FBF-D7B0-4311-A512-D6CAFF793F32,2016-11-20,1.0251499948402245,1.0251499948402245,1.0251499948402245,1.0251499948402245,1.0251499948402245,3.329840032694241,0.9615735281439785,0.9857570974152959,0.9857570974152959,3.7380904112901883,3.7380904112901883,3.684849153709366
0FF90FBF-D7B0-4311-A512-D6CAFF793F32,2016-11-21,3.2015666809553904,3.2015666809553904,3.2015666809553904,3.2015666809553904,3.2015666809553904,3.329840032694241,1.0922955246811024,3.497056957575704,3.497056957575704,0.8543494534027187,0.8543494534027187,2.987708700222977
0FF90FBF-D7B0-4311-A512-D6CAFF793F32,2016-11-22,3.186636647209525,3.186636647209525,3.186636647209525,3.186636647209525,3.186636647209525,3.329840032694241,1.0913987828797382,3.4778913582444457,3.4778913582444457,0.281881910810701,0.281881910810701,0.9803546616539687
0FF90FBF-D7B0-4311-A512-D6CAFF793F32,2016-11-23,3.0174400666728616,3.0174400666728616,3.0174400666728616,3.0174400666728616,3.0174400666728616,3.329840032694241,1.0812363379048806,3.2625658475368238,3.2625658475368238,1.0055106952337156,1.0055106952337156,3.280544853602528
0FF90FBF-D7B0-4311-A512-D6CAFF793F32,2016-11-24,3.2093200776726007,3.2093200776726007,3.2093200776726007,2.52228143179257,1.0,3.329840032694241,0.960062945377642,3.08114928642996,3.08114928642996,1.0659988244743592,1.0659988244743592,3.2845015173643484
0FF90FBF-D7B0-4311-A512-D6CAFF793F32,2016-11-25,3.0792633512367806,3.0792633512367806,3.0792633512367806,2.4776528652180874,1.0,3.329840032694241,0.960062945377642,2.956286642581812,0.8421810373646086,1.0588795102872364,1.0588795102872364,3.1303513523657274
0FF90FBF-D7B0-4311-A512-D6CAFF793F32,2016-11-26,0.5435933318609992,0.5435933318609992,0.5435933318609992,2.492882392480083,1.0,3.329840032694241,0.960062945377642,0.521883815274117,0.8421810373646086,3.6585355757612796,3.6585355757612796,1.909330504594385
0FF90FBF-D7B0-4311-A512-D6CAFF793F32,2016-11-27,0.3408766658976674,0.3408766658976674,0.3408766658976674,2.514717640998285,1.0,3.329840032694241,0.960062945377642,0.327263055872225,0.521883815274117,1.0,1.0,0.327263055872225
0FF90FBF-D7B0-4311-A512-D6CAFF793F32,2016-11-28,2.9060533000156283,2.9060533000156283,2.9060533000156283,2.4661385929211974,1.0,3.329840032694241,0.960062945377642,2.7899940906374208,0.327263055872225,1.6137328131592987,1.6137328131592987,4.502305012582145
0FF90FBF-D7B0-4311-A512-D6CAFF793F32,2016-11-29,3.0467533388485517,3.0467533388485517,3.0467533388485517,2.368385260215118,1.0,3.329840032694241,0.960062945377642,2.9250749843341057,0.327263055872225,1.5946921166618904,1.5946921166618904,4.664594018162501
0FF90FBF-D7B0-4311-A512-D6CAFF793F32,2016-11-30,3.2423133325452604,3.2423133325452604,3.2423133325452604,2.326169062938009,1.0,3.329840032694241,0.960062945377642,3.112824887880601,0.327263055872225,1.0,1.0,3.112824887880601
0FF90FBF-D7B0-4311-A512-D6CAFF793F32,2016-12-01,3.1571432646984854,3.1571432646984854,3.1571432646984854,2.306185733172156,1.2723877824338405,3.329840032694241,0.9764233578755028,3.0827084278109225,0.327263055872225,1.0,1.0,3.0827084278109225
0FF90FBF-D7B0-4311-A512-D6CAFF793F32,2016-12-02,2.9079667304952936,2.9079667304952936,2.9079667304952936,2.3383104854396413,1.2428146793540984,3.329840032694241,0.9746471102005769,2.834241370436658,0.327263055872225,1.0,1.0,2.834241370436658
0FF90FBF-D7B0-4311-A512-D6CAFF793F32,2016-12-03,0.34943667333573103,0.34943667333573103,0.34943667333573103,2.3308566550147676,0.2180581536861821,3.329840032694241,0.9130972149740026,0.3190696532326363,0.327263055872225,1.0,1.0,0.3190696532326363
0FF90FBF-D7B0-4311-A512-D6CAFF793F32,2016-12-04,0.4227600020046036,0.4227600020046036,0.4227600020046036,2.3063857091945548,0.13555266020337264,3.329840032694241,0.9081416920255893,0.3839259835412022,0.3190696532326363,1.0,1.0,0.3839259835412022
0FF90FBF-D7B0-4311-A512-D6CAFF793F32,2016-12-05,2.9517866124709453,2.9517866124709453,2.9517866124709453,2.2786490436909452,1.1783819888943639,3.329840032694241,0.9707770930329593,2.865526826908151,0.3190696532326363,1.0256790407880463,1.0256790407880463,2.9391108071755663
