id,ts,val,val1,base_values,moving_average,daily_pattern,max_vector,normalization,base_prediction,min_vector,minValueWeeklyTrend,avgMinValues,prediction
0BAE787D-0E41-45A0-B9A5-438DCAD21996,2016-11-16,0.8804884219640179,0.8804884219640179,0.8804884219640179,0.8804884219640179,0.8804884219640179,1.0446857213974001,1.068565225680744,0.940859309325263,0.940859309325263,0.940859309325263,0.940859309325263,0.8852162399440109
0BAE787D-0E41-45A0-B9A5-438DCAD21996,2016-11-17,0.9143157805267134,0.9143157805267134,0.9143157805267134,0.9143157805267134,0.9143157805267134,1.0446857213974001,1.0750413089409703,0.9829272334828228,0.9829272334828228,0.9829272334828228,0.9829272334828228,0.9661459463221957
0BAE787D-0E41-45A0-B9A5-438DCAD21996,2016-11-18,0.8343999962273397,0.8343999962273397,0.8343999962273397,0.8343999962273397,0.8343999962273397,0.8804884219640179,1.0895311682500326,0.9091048026773962,0.9091048026773962,0.9572013850826985,0.9572013850826985,0.870196376308137
0BAE787D-0E41-45A0-B9A5-438DCAD21996,2016-11-19,0.1475200057029724,0.1475200057029724,0.1475200057029724,0.1475200057029724,0.1475200057029724,0.9143157805267134,0.9322689400850087,0.13752831935804452,0.13752831935804452,1.08120343285836,1.08120343285836,0.14869609100515857
0BAE787D-0E41-45A0-B9A5-438DCAD21996,2016-11-21,0.922319993376732,0.922319993376732,0.922319993376732,0.922319993376732,0.922319993376732,0.9143157805267134,1.1017508639838651,1.0161668495724072,1.0161668495724072,6.610309839609187,6.610309839609187,6.717177724413151
0BAE787D-0E41-45A0-B9A5-438DCAD21996,2016-11-22,1.0446857213974001,1.0446857213974001,1.0446857213974001,1.0446857213974001,1.0446857213974001,0.9143157805267134,1.128517486769305,1.1789461047751724,1.1789461047751724,0.13534029319684562,0.13534029319684562,0.15955891148355092
0BAE787D-0E41-45A0-B9A5-438DCAD21996,2016-11-24,0.7274333584743241,0.7274333584743241,0.7274333584743241,0.7274333584743241,0.7274333584743241,0.922319993376732,1.0577399088598518,0.7694352942942475,0.7694352942942475,0.8619281623278211,0.8619281623278211,0.663197949241207
0BAE787D-0E41-45A0-B9A5-438DCAD21996,2016-11-25,0.7305966786419352,0.7305966786419352,0.7305966786419352,0.7305966786419352,0.7305966786419352,1.0446857213974001,1.0398691804966318,0.7597249694929502,0.7597249694929502,1.5322225449204825,1.5322225449204825,1.164067726196124
0BAE787D-0E41-45A0-B9A5-438DCAD21996,2016-11-26,0.2574484199285507,0.2574484199285507,0.2574484199285507,0.7815947539527857,1.0,1.0446857213974001,1.0914451359902522,0.2809908256993926,0.2809908256993926,1.0127813685099465,1.0127813685099465,0.28458227299057065
0BAE787D-0E41-45A0-B9A5-438DCAD21996,2016-11-27,0.28710736295110306,0.28710736295110306,0.28710736295110306,0.7601816477639167,1.0,1.0446857213974001,1.0914451359902522,0.3133619347999694,0.13752831935804452,2.7037358518804924,2.7037358518804924,0.8472478977333145
0BAE787D-0E41-45A0-B9A5-438DCAD21996,2016-11-28,0.9601431536047084,0.9601431536047084,0.9601431536047084,0.6663434533927506,1.0,1.0446857213974001,1.0914451359902522,1.0479435748562005,0.13752831935804452,2.0431488366250905,2.0431488366250905,2.1411046958161846
0BAE787D-0E41-45A0-B9A5-438DCAD21996,2016-11-29,0.9447578909365756,0.9447578909365756,0.9447578909365756,0.5881587914961453,1.0,1.0446857213974001,1.0914451359902522,1.0311514047511345,0.13752831935804452,1.0,1.0,1.0311514047511345
0BAE787D-0E41-45A0-B9A5-438DCAD21996,2016-11-30,0.9496084271292936,0.9496084271292936,0.9496084271292936,0.7042478126249648,1.0,1.0446857213974001,1.0914451359902522,1.0364454988856213,0.13752831935804452,1.0,1.0,1.0364454988856213
0BAE787D-0E41-45A0-B9A5-438DCAD21996,2016-12-01,0.9644126162717216,0.9644126162717216,0.9644126162717216,0.7074532265620853,1.0,1.0446857213974001,1.0914451359902522,1.052603459117404,0.13752831935804452,1.0,1.0,1.052603459117404
0BAE787D-0E41-45A0-B9A5-438DCAD21996,2016-12-02,0.9455410579317496,0.9455410579317496,0.9455410579317496,0.6938707559523559,1.0,1.0446857213974001,1.0914451359902522,1.0320061885586853,0.13752831935804452,1.0,1.0,1.0320061885586853
0BAE787D-0E41-45A0-B9A5-438DCAD21996,2016-12-03,0.2285221044562365,0.2285221044562365,0.2285221044562365,0.7277249356376984,0.3293886232303225,1.0446857213974001,0.9630598497679711,0.22008046358628372,0.13752831935804452,1.0,1.0,0.22008046358628372
0BAE787D-0E41-45A0-B9A5-438DCAD21996,2016-12-04,0.16597894873274,0.16597894873274,0.16597894873274,0.7584312755362432,0.37768257599434657,1.0446857213974001,0.9723054921223865,0.1613822434295431,0.13752831935804452,1.0,1.0,0.1613822434295431
0BAE787D-0E41-45A0-B9A5-438DCAD21996,2016-12-05,0.8521179003935111,0.8521179003935111,0.8521179003935111,0.754298944754484,1.4409133138714711,1.0446857213974001,1.1758558453242887,1.00196781408317,0.13752831935804452,1.0,1.0,1.00196781408317
0BAE787D-0E41-45A0-B9A5-438DCAD21996,2016-12-06,0.7712433372313777,0.7712433372313777,0.7712433372313777,0.7369948855804321,1.606297320717287,1.0446857213974001,1.2075178090054988,0.9312900647837222,0.13752831935804452,1.0,1.0,0.9312900647837222
0BAE787D-0E41-45A0-B9A5-438DCAD21996,2016-12-07,0.7549166744574904,0.7549166744574904,0.7549166744574904,0.7215627065502613,1.348400960721182,1.0446857213974001,1.1581448052946535,0.8743028249532576,0.13752831935804452,1.0,1.0,0.8743028249532576
